Date,CM,RY,MFC,BB,AC,WFG,PUMA,BNS,CSU,CNR
2017-02-14,0.00294026,0.003494681,0.014533843,-0.006237026,0.00286328,0.012103049,0,0.002357068,0.003241463,0.000427934
2017-02-15,0.004909697,0.010919272,0.00320138,0.009341012,0.017009623,0.000939175,0,0.010110054,0.005575721,-0.000107084
2017-02-16,0.00103068,0.001521281,-0.004805698,-0.006217637,0.011875794,-0.016091009,0,0.005748862,0.030695409,0.001496458
2017-02-17,-8.62836E-05,0.004145956,0.005047062,0.017517192,-0.088527678,0.010441285,0,-0.002075795,-0.00173364,0.002346982
2017-02-21,0.009058607,0.001008806,0.00482105,-0.016478231,0.018790481,0.032332877,0,0.00085551,0.025947984,0.008382252
2017-02-22,0.005514455,-0.006777509,-0.007644415,-0.012539349,0.01771264,0.001279068,0,-0.002567832,0.012694244,0.001899976
2017-02-23,0.010101043,-0.002642403,-0.017108535,-0.011634187,-0.002196998,0.001277672,0,0,-0.007223129,-0.015410071
2017-02-24,-0.007397642,-0.016934896,-0.02033664,-0.017167804,-0.020741484,-0.017478243,0.117783036,-0.016417294,-0.008474563,-0.010875868
2017-02-27,-0.003634712,0.001137839,0.002094301,0.006472515,0.008199822,0.013640716,0,-0.0137844,-0.000207851,0.007657817
2017-02-28,-0.012612018,-0.002484714,-0.007138499,-0.007555352,-0.006703936,0.009293981,0,-0.028282811,-0.002386715,-0.007657817
2017-03-01,0.015656167,0.010824714,0.025380838,-0.005431844,0.042435043,0.053503922,0,0.021953592,0.011402667,0.02607529
2017-03-02,0.005136549,0.004194939,-0.004529637,0.005431844,-0.035731107,-0.00690154,0,-0.000889445,0.013715982,0.002318061
2017-03-03,0.001175094,0.003567385,0.009038906,-0.002169198,0.017660503,0.012559459,0.105360516,0.016137646,0.004697124,0.013484597
2017-03-06,0.00293201,0.008509376,0.006928789,-0.01642073,-0.022124796,-0.006690255,0,0.002997172,0.00789241,0.008066257
2017-03-07,0.002589801,-0.003941768,-0.006111419,0.004405293,-0.018818771,-0.005696007,-0.105360516,-0.002622121,-0.00360499,0.000720852
2017-03-08,-0.000250367,-0.003957486,-0.000408376,-0.011049836,-0.004569696,0.001383534,0,-0.00664746,0.004407686,-0.002452726
2017-03-09,-0.001670445,-0.000406645,-0.009034966,0.016529302,0.008361888,-0.014100239,0.105360516,-0.004667499,0.001557928,0.003620052
2017-03-10,-0.002343181,-0.006633938,-0.000825697,0.004362057,0.008292547,0.006291459,0,-0.001518332,-0.00427756,0.005662038
